,Competition,Status,Home Team Name,Away Team Name,link
0,Campeonato Brasileiro Série A,matchday 12,São Paulo,Fortaleza,https://www.transfermarkt.com/spielbericht/index/spielbericht/3583831
1,Campeonato Brasileiro Série A,matchday 12,Ceará SC,Athletico-PR,https://www.transfermarkt.com/spielbericht/index/spielbericht/3583834
2,Campeonato Brasileiro Série B,matchday 12,Confiança-SE,Guarani,https://www.transfermarkt.com/spielbericht/index/spielbericht/3584117
3,Campeonato Brasileiro Série B,matchday 12,Sampaio Corrêa,Coritiba FC,https://www.transfermarkt.com/spielbericht/index/spielbericht/3584118
4,Campeonato Brasileiro Série B,matchday 12,Brasil-RS,EC Vitória,https://www.transfermarkt.com/spielbericht/index/spielbericht/3584113
5,Campeonato Brasileiro Série B,matchday 12,Goiás EC,Londrina-PR,https://www.transfermarkt.com/spielbericht/index/spielbericht/3584110
6,Campeonato Brasileiro Série B,matchday 12,Cruzeiro,Avaí FC,https://www.transfermarkt.com/spielbericht/index/spielbericht/3584112
7,Campeonato Brasileiro Série B,matchday 12,Ponte Preta,Remo,https://www.transfermarkt.com/spielbericht/index/spielbericht/3584111
8,Campeonato Brasileiro Série C,Group Stage,EC São José,Oeste FC-SP,https://www.transfermarkt.com/spielbericht/index/spielbericht/3602794
9,Campeonato Brasileiro Série C,Group Stage,Mirassol-SP,Criciúma EC,https://www.transfermarkt.com/spielbericht/index/spielbericht/3602795
10,Campeonato Brasileiro Série C,Group Stage,Jacuipense-BA,Botafogo,https://www.transfermarkt.com/spielbericht/index/spielbericht/3602789
11,Campeonato Brasileiro Série C,Group Stage,Santa Cruz,Tombense,https://www.transfermarkt.com/spielbericht/index/spielbericht/3602790
12,Campeonato Brasileiro Série C,Group Stage,Figueirense FC,Botafogo-SP,https://www.transfermarkt.com/spielbericht/index/spielbericht/3602796
13,CAF-Champions League,Final,Kaizer Chiefs,El Ahly,https://www.transfermarkt.com/spielbericht/index/spielbericht/3589789
14,Liga 1,matchday 1,Gaz Metan,CS Mioveni,https://www.transfermarkt.com/spielbericht/index/spielbericht/3602425
15,Liga 1,matchday 1,Univ. Craiova,FC Arges,https://www.transfermarkt.com/spielbericht/index/spielbericht/3602426
16,Belgian Supercup,Final,Club Brugge,KRC Genk,https://www.transfermarkt.com/spielbericht/index/spielbericht/3604605
17,Super liga Srbije,matchday 1,FK TSC,Novi Pazar,https://www.transfermarkt.com/spielbericht/index/spielbericht/3598593
18,Super liga Srbije,matchday 1,Proleter,Partizan,https://www.transfermarkt.com/spielbericht/index/spielbericht/3598595
19,1.HNL,matchday 1,NK Lokomotiva,Hajduk Split,https://www.transfermarkt.com/spielbericht/index/spielbericht/3591218
20,1.HNL,matchday 1,HNK Rijeka,HNK Gorica,https://www.transfermarkt.com/spielbericht/index/spielbericht/3591215
21,Ykkönen,matchday 12,RoPS,JIPPO,https://www.transfermarkt.com/spielbericht/index/spielbericht/3512727
22,Ykkönen,matchday 12,Ekenäs IF,Mikkelin,https://www.transfermarkt.com/spielbericht/index/spielbericht/3512728
23,Ykkönen,matchday 12,Klubi 04,FF Jaro,https://www.transfermarkt.com/spielbericht/index/spielbericht/3512729
24,Veikkausliiga,matchday 12,AC Oulu,HJK Helsinki,https://www.transfermarkt.com/spielbericht/index/spielbericht/3511683
25,Prva Liga,matchday 1,NK Bravo,NK Radomlje,https://www.transfermarkt.com/spielbericht/index/spielbericht/3593718
26,Prva Liga,matchday 1,NK Aluminij,FC Koper,https://www.transfermarkt.com/spielbericht/index/spielbericht/3593719
27,Prva Liga,matchday 1,NS Mura,Tabor Sezana,https://www.transfermarkt.com/spielbericht/index/spielbericht/3593720
28,Prva Liga,matchday 1,NK Celje,NK Maribor,https://www.transfermarkt.com/spielbericht/index/spielbericht/3593721
29,Prva Liga,matchday 1,NK Domzale,NK Olimpija,https://www.transfermarkt.com/spielbericht/index/spielbericht/3593722
30,Primera Nacional,matchday 17,CA Temperley,AA Estudiantes,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605526
31,Primera Nacional,matchday 17,CD Maipu,GyE Mendoza,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605527
32,Primera Nacional,matchday 17,Agropecuario,CD Riestra,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605528
33,Primera Nacional,matchday 17,Quilmes,Belgrano,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605529
34,Primera Nacional,matchday 17,Tigre,San Martín (T),https://www.transfermarkt.com/spielbericht/index/spielbericht/3605530
35,Primera Nacional,matchday 17,CA Alvarado,Almirante Brown,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605531
36,Primera Nacional,matchday 17,CA Mitre,Chacarita Jrs,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605533
37,Primera Nacional,matchday 17,All Boys,Guillermo Brown,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605534
38,Primera Nacional,matchday 17,Rafaela,Brown Adrogue,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605535
39,Primera Nacional,matchday 17,Ind. Rivadavia,San Martín,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605536
40,Primera Nacional,matchday 17,Barracas C.,Villa Dálmine,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605537
41,Primera Nacional,matchday 17,Instituto AC,CA San Telmo,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605538
42,Primera Nacional,matchday 17,Gimnasia (J),Defensores,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605539
43,Primera Nacional,matchday 17,Tristan Suarez,Dep. Santamarin,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605540
44,Primera Nacional,matchday 17,Ferro,Almagro,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605541
45,Primera Nacional,matchday 17,CD Morón,CA Güemes,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605542
46,Professional Football League,matchday 1,Vélez Sarsfield,Racing Club,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590609
47,Professional Football League,matchday 1,CA Sarmiento,Estudiantes,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590606
48,Professional Football League,matchday 1,Aldosivi,CA Patronato,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590607
49,Professional Football League,matchday 1,Newell's,CA Talleres,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590604
50,Professional Football League,matchday 1,Lanús,CA Tucumán,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590612
51,Professional Football League,matchday 1,Gimnasia,Platense,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590608
52,Major League Soccer,matchday 11,Atlanta United,Revolution,https://www.transfermarkt.com/spielbericht/index/spielbericht/3544564
53,División Profesional Apertura,matchday 9,Nacional Potosí,Bolívar,https://www.transfermarkt.com/spielbericht/index/spielbericht/3571169
54,División Profesional Apertura,matchday 9,Real Santa Cruz,Aurora,https://www.transfermarkt.com/spielbericht/index/spielbericht/3571163
55,División Profesional Apertura,matchday 9,Palmaflor,Royal Pari,https://www.transfermarkt.com/spielbericht/index/spielbericht/3571165
56,División Profesional Apertura,matchday 9,Club San José,Real Tomayapo,https://www.transfermarkt.com/spielbericht/index/spielbericht/3571164
57,J1 League,matchday 21,Avispa Fukuoka,Gamba Osaka,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509090
58,J1 League,matchday 18,Shimizu S-Pulse,Kawasaki Front.,https://www.transfermarkt.com/spielbericht/index/spielbericht/3509581
